Article Title,Article Link,Article Text,Article Summary,Article Image
"Cognizant sells the building from where it rang Nasdaq bell, and that has been its India headquarters for 20-plus years",https://timesofindia.indiatimes.com/technology/tech-news/cognizant-sells-the-building-from-where-it-rang-nasdaq-bell-and-that-has-been-its-india-headquarters-for-20-plus-years/articleshow/119352951.cms,"Representative image

HQ sale in line with Cognizant's consolidation efforts

In a significant real estate transaction, Cognizant Technology Solutions , a leading US-based IT company, has sold its 13.68-acre prime property in Okkiyam Thoraipakkam, off Chennai's Old Mahabalipuram Road (OMR), for Rs 612 crore. The sale, registered earlier this week, at the Neelankarai sub-registrar's office, marks the end of an era for Cognizant's India headquarters, which had been based at the Thoraipakkam complex for over two decades. The property, Cognizant's first fully owned campus in Chennai, holds historical significance for the company.It served as the operational base for co-founders Lakshmi Narayanan and Chandrasekaran and witnessed a landmark event when Cognizant remotely rang the Nasdaq opening bell, signifying a major milestone in its growth. The move to the Thoraipakkam complex had previously elevated Cognizant from its rented space in the CSI building near the US Consulate.The sale aligns with Cognizant's ongoing efforts to consolidate its operations within three of its own buildings at MEPZ, Sholinganallur, and Siruseri. The company had put the property on the market in August last year, engaging international property advisory firm JLL to facilitate the transaction. After discussions with several prospective buyers, including local developers Baashyaam Group and Casagrand, Bengaluru-based real estate developer Bagamane Group emerged as the successful bidder.The transaction, which included a Rs 55.08 crore payment to the Tamil Nadu government for stamp duty and registration fees, was initially targeted for completion by December 2024. Although the process extended nearly three months beyond the anticipated timeline, Cognizant vacated the campus by the end of December in preparation for the handover. The company has also been relinquishing leased spaces across Chennai, including prominent locations such as Ramanujan IT Park, DLF, and its office on St Mary’s Road in R A Puram.With the sale finalized, Cognizant's new India headquarters is set to operate from the MEPZ campus near Tambaram on GST Road. Meanwhile, the Bagamane Group is set to redevelop the Thoraipakkam property, possibly building high-rise mixed-use towers—a growing trend along OMR, Chennai’s vibrant IT corridor.","Cognizant Technology Solutions has sold its 13.68-acre prime property in Okkiyam Thoraipakkam, off Chennai's Old Mahabalipuram Road. Bengaluru-based real estate developer Bagamane Group emerged as the successful bidder. The sale aligns with Cognizant's ongoing efforts to consolidate its operations within three of its own buildings.","https://static.toiimg.com/thumb/msid-119352911,imgsize-23194,width-400,resizemode-4/119352911.jpg"
"AstroSure.ai raises $6 million, eyeing international expansion",https://timesofindia.indiatimes.com/technology/tech-news/astrosure-ai-raises-6-million-eyeing-international-expansion/articleshow/119345263.cms,"AstroSure.ai is expanding to new geographies, including the US, UK and Southeast Asia. The company has raised $6 million in seed funding from entrepreneur Pradeep Dadha and a consortium of other investors. This infusion of capital is aimed to fuel the company's expansion plans, aimed at broadening its reach in international markets.Vanya Mishra , founder and CEO of AstroSure.ai said that she believes that astrology should be more than just predictions — it should be a tool for empowerment and self-improvement. “The future of astrology is deeply connected to human well-being,” she said, emphasizing the company’s vision to make astrology an essential part of daily life, much like fitness and meditation.“Young India is searching for something deeper—something beyond just career milestones and social media validation,” Mishra noted.The company claims to blend science with spirituality, offering hyper-personalized insights backed by data-driven analysis. By combining AI-driven analytics with insights from experienced astrologers, the platform is said to provide personalized astrological guidance.The company said that its online chatbot, Agastyaa, serves as a virtual '3 AM friend' available round-the-clock to answer queries.","AstroSure.ai is expanding to new geographies, including the US, UK and Southeast Asia. The company claims to blend science with spirituality, offering hyper- personalized insights backed by data-driven analysis. By combining AI-driven analytics with insights from experienced astrologers, the platform is said to provide personalized astrological guidance.","https://static.toiimg.com/thumb/msid-47529300,imgsize-110164,width-400,resizemode-4/47529300.jpg"
'Close all Zerodha accounts. They’re not ...' The 'customer message' that got CEO Nithin Kamath and his team get into immediate action,https://timesofindia.indiatimes.com/technology/tech-news/close-all-zerodha-accounts-theyre-not-the-customer-message-that-got-ceo-nithin-kamath-and-his-team-get-into-immediate-action/articleshow/119344771.cms,"A compliance mandate requiring a customer to ""Close all Zerodha accounts"" as they're ""not a trusted broker"" prompted an unexpectedly swift response from CEO Nithin Kamath , showcasing the $2 billion fintech company's approach to customer concerns.Bengaluru product manager Sachin Jha received the ultimatum when his wife joined a global investment bank that classified Zerodha as untrusted due to its lack of physical banking presence. Reluctant to leave the platform he admired for its user experience, Jha sent what he described as a ""last-ditch email"" to Kamath, expecting no reply.Within ten minutes, Kamath personally responded, triggering a comprehensive action plan from his team. They immediately acknowledged the institutional trust gap, outlined steps being taken with banks to address compliance issues, and requested Jha's assistance to establish direct communication with his wife's employer.""I still closed my account,"" Jha admitted in his LinkedIn post detailing the experience, ""But they won my trust for life.""The incident highlights a persistent challenge for digital-first financial platforms like Zerodha, which has successfully scaled through its streamlined online model while facing credibility barriers in traditional banking environments. Kamath has previously acknowledged this tension publicly, noting that while digital platforms excel for trading services, ""a physical presence is crucial"" for broader financial services credibility.Instead of seeking a banking license—an option Kamath has steered clear of due to regulatory risks—Zerodha continues to grow through strategic partnerships while prioritizing operational efficiency.The company's response illustrates how customer feedback can drive strategic priorities, with Jha noting that the experience provided ""a $2 billion lesson in customer obsession"" through Zerodha's rapid acknowledgment, action planning, and transparent communication about institutional challenges.","Zerodha CEO Nithin Kamath personally responded to a customer's request to ""Close all Zerodha accounts"" within ten minutes. Kamath acknowledged the institutional trust gap, outlined steps being taken with banks to address compliance issues, and requested Jha's assistance.","https://static.toiimg.com/thumb/msid-119344741,imgsize-25336,width-400,resizemode-4/119344741.jpg"
"Elon Musk to Tesla employees: ""There are rocky moments, stormy weather but I’m here to tell you the future is...""",https://timesofindia.indiatimes.com/technology/tech-news/elon-musk-to-tesla-employees-there-are-rocky-moments-stormy-weather-but-im-here-to-tell-you-the-future-is-/articleshow/119343577.cms,"Tesla CEO Elon Musk urged employees to retain their company stock despite a 40% drop in share price this year, during an unannounced all-hands meeting Thursday evening in Austin, Texas. ""There are times when there are rocky moments, a little bit of stormy weather but I'm here to tell you the future is bright and exciting,"" Musk told employees during the streamed meeting that ran late into the night.The billionaire acknowledged negative press coverage amid a series of challenges facing the electric vehicle maker . ""If you read the news, it feels like Armageddon,"" he said. ""I can't walk past a TV without seeing a Tesla on fire.""Tesla has faced vandalism at charging stations and dealerships, with the FBI investigating multiple incidents including fires in Las Vegas, Kansas City and Missouri. These attacks come amid growing political backlash against Musk's role in the Trump administration, contributing to sales declines in key markets like Europe and China.Despite these setbacks, Musk emphasized Tesla's ambitious plans for autonomous vehicles and robotics. The company aims to scale production of its future autonomous Cybercab to ""new heights,"" and Musk revealed an updated timeline for the humanoid Optimus robot , projecting availability to Tesla employees by the second half of 2026.The CEO even hinted at potential expansion into aviation, saying, ""I've thought about aircraft designs for a long time,"" and suggesting Tesla might develop an electric vertical take-off and landing vehicle.Wedbush Securities analyst Dan Ives described the meeting as a ""first step for Musk to show he is going to lead Tesla through this tumultuous period,"" though he had previously urged Musk to step back from politics and refocus on Tesla's core business amid what Ives called a ""tornado crisis moment.""","Tesla CEO Elon Musk held an unannounced all-hands meeting in Austin, Texas. Musk urged employees to retain their company stock despite a 40% drop in share price this year. The billionaire acknowledged negative press coverage amid a series of challenges facing the electric vehicle maker.","https://static.toiimg.com/thumb/msid-119343534,imgsize-41644,width-400,resizemode-4/119343534.jpg"
"Ben Stiller asks Tim Cook ‘Severance Season 3 fan question’, Apple CEO responds",https://timesofindia.indiatimes.com/technology/tech-news/ben-stiller-asks-tim-cook-severance-season-3-fan-question-apple-ceo-responds/articleshow/119339227.cms,"Ben Stiller has confirmed the renewal of the hit series Severance for a third season on Apple TV+, following a teaser release and a playful exchange with Apple CEO Tim Cook. While the release date remains uncertain, creator Dan Erickson assures fans the wait will be shorter compared to previous seasons.","Severance has been renewed for a third season on Apple TV+. The release date remains uncertain, but creator Dan Erickson assures fans the wait will be shorter compared to previous seasons. Ben Stiller has confirmed the renewal in a playful exchange with Apple CEO Tim Cook.","https://static.toiimg.com/thumb/msid-119339227,imgsize-40030,width-400,resizemode-4/119339227.jpg"
"Donald Trump government sends 'warning' letter to 10 highest-paid consulting companies, says explain in simple language that 'a 15-year-old can understand' that 'How...'",https://timesofindia.indiatimes.com/technology/tech-news/donald-trump-government-sends-warning-letter-to-10-highest-paid-consulting-companies-with-march-31-deadline-explain-and-in-language-that-a-15-year-old-should-understand/articleshow/119338009.cms,".

Accenture becomes first consulting company to be 'hit' by DOGE

The US President Donald Trump administration is intensifying its investigation into federal consultancies, such as Booz Allen Hamilton Holding Corp and Accenture Plc, demanding that these companies describe their work in clear, simple terms rather than ""jargon or gobbledygook,"" Bloomberg reports. According to a letter seen by Bloomberg News, Josh Gruenbaum, the General Services Administration’s new top procurement official, wrote to the 10 highest-paid consulting companies serving the government, requesting detailed information about their billions in government contracts and their plans to ""reduce or eliminate spend."" Gruenbaum warned, ""Do not submit a scorecard that does not identify any waste and spend reduction opportunities,"" adding that submissions failing to highlight cost savings would lack credibility and signal misalignment with the administration’s cost-cutting objectives.Gruenbaum, a former private equity executive and investment banker from KKR & Co. and Moelis & Co., appointed by President Donald Trump to oversee GSA procurement, instructed the consulting companies to submit pricing reduction recommendations by March 31 in language ""a 15-year-old should be able to understand."" This follows GSA’s earlier directive to federal agencies to justify their contracts with consultancies, including major players like Deloitte Consulting LLP, Bloomberg report adds.Earlier this week, Accenture’s stock dropped after the company reported a slowdown in its US government work, tied to Elon Musk’s Department of Government Efficiency push to cut the federal workforce and budget. CEO Julie Sweet said at the earnings call that federal services made up about 8% of Accenture’s global revenue and 16% of its Americas revenue in fiscal 2024. Meanwhile, Science Applications International Corp., another firm in DOGE ’s sights, said its contracts have seen minimal impact so far but acknowledged potential shifts as the administration ramps up its fight against ""waste, fraud and abuse.""The report highlights that the federal government spent $759 billion on contracts in 2023, relying on external firms for professional services, tech support, and R&D, per Government Accountability Office data. Supporters argue this outsourcing saves money by leveraging outside expertise. Other targeted firms include IBM, General Dynamics, Leidos, Guidehouse, HII Mission Technologies, and CGI Federal, none of which immediately commented on GSA’s letter.GSA is requiring these consultants to submit a form detailing payments from agencies between 2019 and 2024, their work types, and pricing models. Bloomberg News also reports that GSA has already terminated 1,700 consulting contracts, based on internal agency data provided earlier this week.","US President Donald Trump administration is intensifying its investigation into federal consultancies. General Services Administration’s new top procurement official, Josh Gruenbaum, wrote to the 10 highest-paid consulting companies serving the government. GSA has already terminated 1,700 consulting contracts, based on internal agency data provided earlier this week.","https://static.toiimg.com/thumb/msid-119337970,imgsize-26682,width-400,resizemode-4/119337970.jpg"
Microsoft CEO Satya Nadella on Sachin Tendulkar and Bill Gates video: Looks like I found ...,https://timesofindia.indiatimes.com/technology/tech-news/microsoft-ceo-satya-nadella-on-sachin-tendulkar-and-bill-gates-video-looks-like-i-found-/articleshow/119337463.cms,"Bill Gates plays Crennis with Sachin Tendulkar

Microsoft CEO Satya Nadella recently reacted to a video featuring cricket legend Sachin Tendulkar and Microsoft co-founder Bill Gates, sparking curiosity about a possible collaboration between the two. The playful clip, shared by Tendulkar on X, introduces a hybrid sport called ""Crennis""—a fusion of cricket and tennis. Responding to the video, Nadella wrote “Looks like I found my next sport! I look forward to trying my hand at Crennis with you both,” tagging Bill Gates and Sachin Tendulkar in the post.In the video, Gates looks at Tendulkar’s stance with a tennis racket and remarks, “I thought we were playing tennis.” Tendulkar playfully corrects him, saying, “Bill, I said Crennis—a little bit of cricket and a little bit of tennis.” The duo then engages in a lighthearted match, with Tendulkar calling Gates ""out"" using an informal street cricket rule: “One tip, one hand—Gully Crennis.”At one point, Gates is seen reading a book titled Rules of Crennis, as they continue their unconventional game, blending cricket techniques with tennis elements on a tennis court.The video wraps up with Gates asking, “Call it even?” to which Tendulkar agrees, replying, “Done.” The two then enjoy a classic Mumbai snack, vada pav, rounding off the fun-filled exchange.The post is captioned “Sport teaches us teamwork, life demands the same. Crennis was fun, but the real action is brewing with Sachin Tendulkar Foundation & Gates Foundation.”Earlier this week, Gates posted a similar video on Instagram. In the video, Gates and Tendulkar are seen sitting on a bench, enjoying vada pav together. The clip ends with the caption, “Serving soon.” Gates captioned the post, “A snack break before we get to work.”No other details about the potential project between Gates andTendulkar are known yet.","Microsoft CEO Satya Nadella reacted to a video featuring Sachin Tendulkar and Bill Gates. The playful clip introduces a hybrid sport called ""Crennis,"" a fusion of cricket and tennis. In the video, Gates is seen reading a book titled Rules of Crennis. No other details about the potential project are known yet.","https://static.toiimg.com/thumb/msid-119337482,imgsize-55144,width-400,resizemode-4/119337482.jpg"
"NYT Connections hints and answers March 20, 2025: Check clues to solve today's puzzle",https://timesofindia.indiatimes.com/technology/gaming/nyt-connections-hints-and-answers-march-20-2025-check-clues-to-solve-todays-puzzle/articleshow/119256100.cms,"NYT Connections Puzzle March 20, 2025 – Daily Word Challenge, Hints, and Answers

What is NYT’s ‘Connections’ game?

NYT Connections hints for March 20, 2025

Yellow: Not hesitant to express one's opinions

Green: Naturally occurring water bodies

Blue: Different kinds of flexible cords or wires

Purple: Items commonly enclosed in glass or plastic containers

NYT Connections answers March 20, 2025

Yellow- Direct, Frank, Loud, Vocal

Green- Bay, Channel, Sound, Strait

Blue- Bungee, Extension, Spinal, Umbilical

Purple- Genie, Lightning, Message, Ship

How to play NYT Connections

You will receive a grid of 16 words.

Your goal is to sort these words into four groups of four based on their hidden connections.

Connections may include:Synonyms or antonyms.

Shared themes, such as objects, professions, or word families.

Wordplay or shared prefixes/suffixes.

A new puzzle is released daily at midnight.

You can play the puzzle on the New York Times website or app.

Look at the grid and identify words that seem related.

Experiment with grouping words that share a logical connection, such as names of mythical characters, clickable items, or objects used in a specific context.

Select four words you think belong together.

Click the ""Submit"" button to test your group.

If your group is correct, it will be locked in, and its category will be color-coded.

If incorrect, you lose a life.

You start with four lives.

Making four incorrect guesses ends the game.

Sometimes, the game provides a hint that you’re one word away from forming a correct group.

Use this to swap and refine your selections.

Correct groups are categorized as:Yellow: Easiest to guess.

Blue and Green: Moderate difficulty.

Purple: Hardest, often involving complex wordplay.

The game records your streaks and overall performance.

Challenge your friends or share results to see who solves the puzzles fastest.

If you run out of lives, the game ends.

Return the next day for a new puzzle and continue improving your skills!

Strategies for tackling NYT Connections puzzles

Identify Obvious Groups: Start with the most apparent connections, like mythology or objects with specific features.

Use Process of Elimination: Cross off words as you place them into groups, narrowing the possibilities for the remaining categories.

Think Creatively: Some categories require outside-the-box thinking, like interpreting word segments or understanding cultural references.

Learn from Mistakes: Each incorrect guess provides clues. Use these to refine your approach for future puzzles.

Other NYT games to sharpen your skills

NYT Mini Crossword: A quick yet challenging crossword experience.

Spelling Bee: Build as many words as possible using a set of seven letters.

Wordle: Solve a five-letter word puzzle with limited guesses.

Strands: A unique 6x8 word search that uses zig-zag solutions.

The New York Times has carved out a niche in digital word puzzles with games like Connections, a daily brain teaser designed to challenge logic and language skills. The March 20 puzzle (#648) brought its fair share of challenges, requiring players to think critically to identify connections between seemingly unrelated words. Known for its clever wordplay and nuanced categories, the game continues to captivate enthusiasts. This article delves into the intricacies of the puzzle, offering hints, solutions, and insights to help players master this engaging game and improve their problem-solving abilities.Connections is a daily word puzzle from The New York Times designed to test your vocabulary and expand your word knowledge. With three difficulty levels—Easy, Medium, and Hard—it offers a fun and engaging way to challenge your brain while boosting your language skills. Word enthusiasts are sure to enjoy this delightful gaming experience. Currently, NYT Connections is trending across social media platforms!The Connections puzzle tests players' ability to group words into thematic categories. Unlike traditional crosswords, this game requires pattern recognition, linguistic knowledge, and a touch of creativity. Each puzzle includes 16 words, which must be sorted into four groups of four, based on shared characteristics.The March 20 edition is particularly tricky, featuring themes that ranged from verbs to Greek mythology, requiring careful analysis and lateral thinking. With varying levels of difficulty across the categories, this puzzle is a treat for seasoned solvers and a challenge for newcomers.If you’ve struggled with today’s puzzle or want to understand its nuances better, this article provides all the guidance you need—from subtle hints to full explanations.To assist players without revealing answers outright that you can use to start each category. Here are hints for the puzzle’s categories:These hints are designed to nudge players in the right direction without giving away the solution outright, preserving the thrill of solving the puzzle independently.For those who need a helping hand, here are the full solutions for today’s puzzle, along with detailed explanations:Understand the Objective:Access the Puzzle:Begin Sorting Words:Submit Your Groups:Interpret Feedback:Handle Lives and Mistakes:Watch for Hints:Color-Coded Groups:Track Progress and Compete:Game Over and Retry:Solving Connections puzzles can be daunting, but with the right approach, you can improve your skills:If you enjoy Connections, the New York Times offers several other puzzles to test your vocabulary and problem-solving skills:Each game offers a distinct challenge, allowing players to explore new ways to engage with language and logic.","Connections is a daily word puzzle from The New York Times designed to test your vocabulary and expand your word knowledge. The March 20 puzzle (#648) brought its fair share of challenges, requiring players to think critically to identify connections between seemingly unrelated words. Known for its clever wordplay and nuanced categories, the game continues to captivate enthusiasts.","https://static.toiimg.com/thumb/msid-119256174,imgsize-9464,width-400,resizemode-4/119256174.jpg"
Today's Wordle #1370 hints and answer: Check clues to solve puzzle on March 20,https://timesofindia.indiatimes.com/technology/gaming/todays-wordle-1370-hints-and-answer-check-clues-to-solve-puzzle-on-march-20/articleshow/119238353.cms,"How did Wordle originate

Where can you play Wordle

How to play Wordle

If you guess an incorrect letter, it turns grey.

If you guess the correct letter but it's in the wrong position, it turns yellow.

If the letter is correct and in the right position, it turns green.

Answers will never be plurals.

Letters can appear twice or even three times in a word.

Wordle hints and answers today

Wordle hints and clues for March 20, 2025

The word starts with the letter 'B'.

It contains two vowel.

The word ends with letter 'E'.

The word has 5 unique letters.

Today's Wordle features a cooking technique used for preparing meat.

Wordle, March 20, 2025: Word of the day

Today's Wordle word is ‘BASTE’.

How to play Wordle

Wordle FAQs

Wordle is a popular word puzzle game that challenges players to guess a five-letter word within six attempts. Developed by Josh Wardle, this simple yet addictive game has taken the world by storm with its easy-to-understand rules and daily challenges. Each guess provides feedback with colored tiles: green indicates the correct letter in the correct spot, yellow signals the correct letter in the wrong spot, and gray means the letter isn't in the word. Wordle’s mix of logic and vocabulary makes it a daily brain teaser loved by millions worldwide.The Wordle puzzle can be tricky to solve, which is likely why you’ve found yourself here, struggling to crack today’s challenge. As always, today’s NYT Wordle was full of surprises, but don’t worry—we’re here to help. Below, you’ll find some helpful clues for today’s Wordle answer , and if those don’t do the trick, keep reading to discover the solution directly.Wordle was initially developed by engineer Josh Wardle as a thoughtful gift for his partner. However, it quickly gained massive popularity, turning into a global sensation with thousands of players engaging daily. The game's success inspired fans to create various spin-offs, such as the battle royale-style Squabble, the music identification game Heardle, and multi-word challenges like Dordle and Quordle.As its popularity soared, The New York Times acquired Wordle, and it became a hit on social media platforms like TikTok, where creators even livestream their gameplay sessions.Wordle isn't available as an app; it can only be played through a web browser. To play, simply visit the New York Times Games website.Originally hosted on its own site and created by Josh Wardle, Wordle was acquired by the New York Times in February of this year. One of the great aspects of Wordle is that it’s ad-free, allowing you to fully concentrate on the word-guessing game.In Wordle, the goal is to guess a new five-letter word each day, with up to six attempts to get it right.Wordle also tracks how many times you've played, along with your win or loss rate, as the game has become wildly popular for its winning streaks.Today’s Wordle promises a puzzle that tests your linguistic skills, likely to be decoded by many participants. To assist you in solving the puzzle, we've curated a fresh array of hints and clues for today's Wordle challenge.Whether you have cracked the code or are still working with the hints, it is now time to reveal the answer. Drumroll please, as we unveil the answer for Wordle.To play Wordle, visit the link https://www.nytimes.com/games/wordle/index.html and begin guessing words.Can I play past Wordle puzzles?No, Wordle is designed as a daily game with a unique puzzle each day. While you can’t play past puzzles on the official site, there are unofficial Wordle archives available where you can play previous games.How do the color-coded tiles work in Wordle?Green means the letter is correct and in the correct position.Yellow means the letter is correct but in the wrong position.Gray means the letter is not in the word at all.How many guesses do I get in Wordle?You have six chances to guess the correct five-letter word. After each guess, you receive feedback to help guide your next attempt.Can I play Wordle more than once per day?Wordle is designed as a daily puzzle, so you can only play one puzzle per day. The word of the day is the same for everyone globally, and once you complete it, you’ll have to wait until the next day for a new puzzle.Can letters repeat in Wordle?Yes, repeated letters can appear in Wordle answers. Words containing duplicate letters can present more of a challenge when solving.Is Wordle available in other languages?Yes, there are multiple versions of Wordle available in various languages, including Spanish, French, and German. You can switch to a different language by finding the corresponding version of the game online.","Wordle is a daily word puzzle game that challenges players to guess a five- letter word within six attempts. Each guess provides feedback with colored tiles: green indicates the correct letter in the correct spot, yellow signals the correctletter in the wrong spot, and gray means the letter isn't in the word. The New York Times acquired Wordle in February of this year.","https://static.toiimg.com/thumb/msid-119238367,imgsize-27288,width-400,resizemode-4/119238367.jpg"
